,trans_date,data
ef1bcca724f3,1/18/2017,167042.779
ef1bcca724f3,1/19/2017,164462.3617
ef1bcca724f3,1/20/2017,270150.9521
ef1bcca724f3,1/21/2017,347785.9591
ef1bcca724f3,1/22/2017,226932.7349
ef1bcca724f3,1/23/2017,117060.0647
ef1bcca724f3,1/24/2017,144615.8621
ef1bcca724f3,1/25/2017,184335.8266
ef1bcca724f3,1/26/2017,191081.6025
ef1bcca724f3,1/27/2017,269209.9476
ef1bcca724f3,1/28/2017,336911.4188
ef1bcca724f3,1/29/2017,271987.1654
ef1bcca724f3,1/30/2017,143526.8685
ef1bcca724f3,1/31/2017,141589.919
ef1bcca724f3,2/1/2017,153751.2656
ef1bcca724f3,2/2/2017,182230.0727
ef1bcca724f3,2/3/2017,257303.2052
ef1bcca724f3,2/4/2017,365153.0954
ef1bcca724f3,2/5/2017,171595.4208
ef1bcca724f3,2/6/2017,119762.9058
ef1bcca724f3,2/7/2017,126046.1458
ef1bcca724f3,2/8/2017,159164.327
ef1bcca724f3,2/9/2017,169336.8735
ef1bcca724f3,2/10/2017,273005.5276
ef1bcca724f3,2/11/2017,379627.0123
ef1bcca724f3,2/12/2017,280334.0737
ef1bcca724f3,2/13/2017,168096.5155
ef1bcca724f3,2/14/2017,381400.0489
ef1bcca724f3,2/15/2017,185993.4521
ef1bcca724f3,2/16/2017,194788.3785
ef1bcca724f3,2/17/2017,282143.2533
ef1bcca724f3,2/18/2017,364690.9013
ef1bcca724f3,2/19/2017,313962.1127
ef1bcca724f3,2/20/2017,182639.7121
ef1bcca724f3,2/21/2017,135530.5075
ef1bcca724f3,2/22/2017,186498.4286
ef1bcca724f3,2/23/2017,186032.599
ef1bcca724f3,2/24/2017,274038.1038
ef1bcca724f3,2/25/2017,350640.1896
ef1bcca724f3,2/26/2017,266565.2777
ef1bcca724f3,2/27/2017,166196.7912
ef1bcca724f3,2/28/2017,154559.3512
ef1bcca724f3,3/1/2017,168049.3787
ef1bcca724f3,3/2/2017,197016.7687
ef1bcca724f3,3/3/2017,269253.682
ef1bcca724f3,3/4/2017,339373.303
ef1bcca724f3,3/5/2017,283561.4751
ef1bcca724f3,3/6/2017,139940.2006
ef1bcca724f3,3/7/2017,156129.4895
ef1bcca724f3,3/8/2017,186937.9988
ef1bcca724f3,3/9/2017,198258.3755
ef1bcca724f3,3/10/2017,300124.0524
ef1bcca724f3,3/11/2017,338518.7103
ef1bcca724f3,3/12/2017,297538.9309
ef1bcca724f3,3/13/2017,153238.3893
ef1bcca724f3,3/14/2017,166186.2311
ef1bcca724f3,3/15/2017,194610.0059
ef1bcca724f3,3/16/2017,223269.7061
ef1bcca724f3,3/17/2017,291078.9791
ef1bcca724f3,3/18/2017,354406.5102
ef1bcca724f3,3/19/2017,277726.438
ef1bcca724f3,3/20/2017,169791.3486
ef1bcca724f3,3/21/2017,183320.0051
ef1bcca724f3,3/22/2017,204097.0403
ef1bcca724f3,3/23/2017,203406.7622
ef1bcca724f3,3/24/2017,279862.8705
ef1bcca724f3,3/25/2017,356870.4082
ef1bcca724f3,3/26/2017,293609.4034
ef1bcca724f3,3/27/2017,156825.7178
ef1bcca724f3,3/28/2017,173976.3847
ef1bcca724f3,3/29/2017,198616.5294
ef1bcca724f3,3/30/2017,209717.9659
ef1bcca724f3,3/31/2017,266544.6288
ef1bcca724f3,4/1/2017,345393.5196
ef1bcca724f3,4/2/2017,279533.1768
ef1bcca724f3,4/3/2017,138254.5961
ef1bcca724f3,4/4/2017,138689.4429
ef1bcca724f3,4/5/2017,168327.8555
ef1bcca724f3,4/6/2017,173630.83
ef1bcca724f3,4/7/2017,288129.6117
ef1bcca724f3,4/8/2017,344889.7374
ef1bcca724f3,4/9/2017,258238.8772
ef1bcca724f3,4/10/2017,124500.1943
ef1bcca724f3,4/11/2017,149628.3326
ef1bcca724f3,4/12/2017,170116.5548
ef1bcca724f3,4/13/2017,213535.8147
ef1bcca724f3,4/14/2017,274697.4455
ef1bcca724f3,4/15/2017,313209.7297
ef1bcca724f3,4/16/2017,278356.5075
ef1bcca724f3,4/17/2017,151799.4955
ef1bcca724f3,4/18/2017,151111.3547
ef1bcca724f3,4/19/2017,174425.9501
ef1bcca724f3,4/20/2017,212244.9587
ef1bcca724f3,4/21/2017,274807.6571
ef1bcca724f3,4/22/2017,345640.5113
